cd_sector,x65,rest,prop_65plussers
11002V21-,86,1105,7.220822837951301
11002V22-,287,1182,19.53710006807352
11002V23-,390,1577,19.827147941026947
11002V301,227,1551,12.767154105736783
11002V312,213,1225,14.812239221140471
11002V322,453,1211,27.223557692307693
11002V373,1,9,10
11002V391,2,NA,NA
11002ZZZZ,12,854,1.3856812933025404
11004A00-,310,995,23.754789272030653
11004A01-,166,539,23.54609929078014
11004A02-,195,355,35.45454545454545
11004A03-,217,861,20.12987012987013
11004A081,211,471,30.93841642228739
11004A09-,34,127,21.11801242236025
11004A10-,227,1091,17.223065250379364
11004A18-,25,126,16.55629139072848
11004A19-,123,553,18.19526627218935
11004A21-,236,586,28.710462287104622
11004A220,360,1514,19.2102454642476
11004A23-,220,555,28.387096774193548
11004A242,93,498,15.736040609137056
11004A29-,41,151,21.354166666666664
11004B000,212,903,19.013452914798208
11004B010,66,496,11.743772241992882
11004B022,85,200,29.82456140350877
11004B081,96,291,24.8062015503876
11004B090,33,163,16.83673469387755
11004B19-,27,74,26.732673267326735
11004ZZZZ,0,1,0
11005A00-,465,1314,26.138279932546375
11005A01-,578,2007,22.359767891682786
11005A02-,200,964,17.18213058419244
11005A03-,203,1076,15.871774824081314
11005A04-,148,1158,11.3323124042879
11005A051,42,313,11.830985915492958
11005A072,9,70,11.39240506329114
11005A093,34,116,22.666666666666664
11005A10-,121,938,11.425873465533522
11005A184,6,77,7.228915662650602
11005A191,15,95,13.636363636363635
11005A20-,110,1102,9.075907590759076
11005A211,319,1816,14.941451990632318
11005A22-,124,670,15.617128463476071
11005A232,107,688,13.459119496855346
11005A242,98,291,25.19280205655527
11005A25-,48,321,13.008130081300814
11005A30-,598,2549,19.00222434064188
11005ZZZZ,1,8,11.11111111111111
11007A00-,284,911,23.765690376569037
11007A01-,271,1091,19.897209985315712
11007A020,147,620,19.165580182529336
11007A03-,662,2535,20.70691273068502
11007A04-,797,3431,18.850520340586566
11007A080,45,158,22.167487684729064
11007A09-,29,96,23.200000000000003
11008A00-,827,1353,37.93577981651376
11008A01-,764,1649,31.661831744716125
11008A020,969,3688,20.807386729654283
11008A03-,348,1466,19.18412348401323
11008A04-,989,1786,35.63963963963964
11008A091,1,26,3.7037037037037033
11008A0AA,130,319,28.953229398663698
11008A0BJ,350,1028,25.39912917271408
11008A0PA,31,145,17.613636363636363
11008A10-,321,1278,20.075046904315197
11008A11-,571,1409,28.83838383838384
11008A12-,226,959,19.071729957805907
11008A19-,52,196,20.967741935483872
11008A20-,522,1954,21.08239095315024
11008A21-,410,1840,18.22222222222222
11008A22-,20,128,13.513513513513514
11008A283,73,140,34.27230046948357
11008A29-,2,3,40
11008A30-,328,1305,20.085731781996326
11008A31-,226,868,20.6581352833638
11008A32-,129,302,29.930394431554525
11008A332,140,427,24.691358024691358
11008A381,159,114,58.24175824175825
11008A3MB,133,385,25.675675675675674
11008A3PB,20,147,11.976047904191617
11008A40-,642,2404,21.07682206172029
11008A49-,420,925,31.226765799256505
11008A500,273,973,21.910112359550563
11008A510,493,1410,25.90646347871781
11008A59-,2,7,22.22222222222222
11008ZZZZ,0,6,0
11009A000,643,1762,26.735966735966738
11009A01-,55,284,16.224188790560472
11009A02-,10,36,21.73913043478261
11009A03-,35,66,34.65346534653465
11009A042,122,474,20.469798657718123
11009A0AD,45,267,14.423076923076922
11009A0MC,17,76,18.27956989247312
11009A0PD,162,822,16.463414634146343
11009A0QC,35,207,14.46280991735537
11009A20-,315,1406,18.30331202789076
11009A21-,273,884,23.595505617977526
11009A222,370,1847,16.689219666215607
11009A281,2,5,28.57142857142857
11009A29-,4,8,33.33333333333333
11009A30-,89,383,18.85593220338983
11009A38-,18,71,20.224719101123593
11009A3AB,82,778,9.534883720930234
11009A3PB,73,293,19.94535519125683
11009A49-,59,207,22.18045112781955
11009A5AA,283,1852,13.255269320843091
11009A5PA,8,117,6.4
11009B00-,380,1403,21.31239484015704
11009B01-,110,571,16.152716593245227
11009B02-,77,347,18.160377358490564
11009B032,141,728,16.225546605293438
11009B08-,116,431,21.206581352833638
11009B091,41,236,14.801444043321299
11009B18-,33,145,18.53932584269663
11009B19-,157,343,31.4
11009B20-,132,604,17.934782608695652
11009B29-,42,219,16.091954022988507
11009B2MA,0,36,0
11009B2PA,57,258,18.095238095238095
11009C00-,260,735,26.13065326633166
11009C01-,589,2216,20.998217468805706
11009C020,410,1629,20.107896027464445
11009C03-,603,1619,27.137713771377136
11009C08-,29,117,19.863013698630137
11009C090,63,377,14.318181818181818
11009ZZZZ,0,10,0
11013A00-,402,1352,22.91904218928164
11013A01-,343,882,28.000000000000004
11013A02-,1242,2908,29.927710843373497
11013A03-,174,506,25.588235294117645
11013A040,517,1523,25.34313725490196
11013A050,414,1146,26.53846153846154
11013A090,8,14,36.36363636363637
11013A101,724,2538,22.194972409564684
11013A11-,122,637,16.073781291172594
11013A12-,88,326,21.256038647342994
11013A132,416,1594,20.69651741293532
11013A142,456,1790,20.302760463045413
11013A181,12,41,22.641509433962266
11013A19-,20,135,12.903225806451612
11013A20-,342,1134,23.170731707317074
11013A21-,49,373,11.61137440758294
11013ZZZZ,0,16,0
11016A000,407,705,36.60071942446043
11016A010,236,656,26.45739910313901
11016A021,120,492,19.607843137254903
11016A042,288,1490,16.197975253093365
11016A052,161,673,19.304556354916066
11016A091,122,592,17.086834733893557
11016A101,220,772,22.177419354838708
11016A112,278,1435,16.228838295388208
11016A180,38,210,15.32258064516129
11016A191,29,124,18.954248366013072
11016A1AJ,117,509,18.69009584664537
11016A200,278,1272,17.93548387096774
11016A262,59,258,18.61198738170347
11016A273,7,46,13.20754716981132
11016A281,51,233,17.95774647887324
11016A291,73,368,16.55328798185941
11016A300,110,328,25.11415525114155
11016A391,25,128,16.33986928104575
