cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
11013A00-,EDEGEM-CENTRUM,41809,30517
11013A01-,MUSSENBURG,44654,31479
11013A02-,BUIZEGEM,39716,30840
11013A03-,POSDIJK,61570,38993
11013A040,BOERENLEGER,47315,34439
11013A050,GRIJPEGEM,36914,26659
11013A090,HOF TER LINDEN,NA,NA
11013A101,EEKHOF - ST.JOZEF,49120,34936
11013A11-,ELSDONK,41162,33639
11013A12-,VERBRANDE HOEVE,80258,46969
11013A132,MOLENVELD,48019,34968
11013A142,AAN DE HOEVE,48897,34115
11013A181,MOLENVELD-ZUID,NA,33884
11013A19-,DRIE EIKEN,40021,31421
11013A20-,TER BEKE,42717,30176
11013A21-,ROZENHOF,39644,33031
11016A000,ESSEN-CENTRUM,34287,26463
11016A010,HEUVEL,34377,25532
11016A021,KLOOSTERSTRAAT-OOST,33054,27317
11016A042,HONDSBERG,34062,27690
11016A052,DE VENNEN - DE WERF,44132,35893
11016A091,SPIJKER - ZANDSTRAAT,42093,31777
11016A101,WILDERT-OOST,38332,30608
11016A112,WILDERT-WEST,43551,34175
11016A180,VISSENHEUVEL - ZILVEREN HOEK,38859,32051
11016A191,WILDVEN,37596,27088
11016A1AJ,WILDERT WEEKENDZONE-OOST,36876,31889
11016A200,HORENDONK,38626,30380
11016A262,HORENDONK-WEEKENDZONE,32687,28766
11016A273,INDUSTRIEZONE,NA,23531
11016A281,STEENPAAL - GROTE HORENDONK,38644,30345
11016A291,SCHANKER - SCHAM,39913,29353
11016A300,ESSEN - HOEK,36623,28938
11016A391,NOORDENEIND - ROUWMOERHOEF - WATERWINNING,34851,27167
11016A3AJ,WILDERT - WEEKENDZONE-WEST,36383,30773
11016A401,STATION,29305,24957
11016A412,VELDWEG,37202,29697
11016A501,HEIKANT,41548,32930
11016A592,PAARDENHOEK-WILDERTSE DUINTJES,36831,28396
11016A60-,KALMTHOUTSE HOEK,NA,36799
11016A691,MOLENWIJK - VOORTSE HOEVE,42997,28623
11018A000,HEMIKSEM-DORP,37509,30394
11018A010,HOOFDBOS,43467,33995
11018A021,HEMIKSEM-CENTRUM,35743,29575
11018A030,VARENVELDEN,43707,34986
11018A042,KALLEBEEK,50674,36091
11018A054,BOUWERIJVELDEN,38762,30169
11018A070,HERBEKE - TERLOCHT,NA,NA
11018A090,KASTEEL,NA,NA
11018A101,HEUVELSTRAAT,32696,27957
11018A111,KERKENEINDE,34161,27859
11018A122,SINT-BERNARD,40108,29794
11018A132,KERKE BOS,48265,25527
11018A143,SCHELSE BOS,34724,30308
11018A170,NIJVERHEIDSZONE-OOST,37375,29705
11018A1MJ,NIJVERHEIDSZONE - SCHELDE-Z.,46419,37315
11021A00-,HOVE-CENTRUM,42211,31309
11021A01-,GEELHAND,54474,33742
11021A02-,KLEINE MIJL,60244,32655
11021A03-,GRENS EDEGEM,47105,35837
11021A04-,RATTENNEST,66506,42046
11021A052,FRUITHOUT-ZUID,53613,36959
11021A062,VELDKANT,55692,35732
11021A081,FRUITHOUT,50898,39139
11021A091,VELDKANT-VERSPREIDE BEWONING,NA,NA
11021A19-,HOOFSE HOEK,NA,33420
11022A001,KALMTHOUT-CENTRUM-OOST,34007,27243
11022A012,KALMTHOUT-CENTRUM-WEST,51142,43747
11022A02-,KIJKUIT-WEST,46559,34501
11022A032,BEZEMHEIDE,41485,31945
11022A080,KALMTHOUT-VERSPR. BEW.-OOST,38210,27112
11022A091,VOGELENZANG,NA,NA
11022A10-,KALMTHOUT-DORP,37057,29768
11022A11-,HEUVEL,43048,32681
11022A120,ACHT ZALIGHEDEN,45242,32982
11022A132,MERBORETUM-NOORD,60323,42689
11022A181,NATUURRESERVAAT,71252,60221
11022A19-,DE GREEF,49264,37726
11022A201,OUD-HEIDE,32296,25363
11022A21-,DENNENDAAL,51192,35064
11022A22-,GEUZENBAK,58737,46781
11022A232,NIEUWE WIJK - HEIDE,48850,34309
11022A28-,WITTE  HOEVESEHEIDE,43339,32726
11022A2AA,HOLLE KELDER,43117,32348
11022A2MA,INDUSTRIE,50606,33865
11022A30-,ACHTERBROEK-CENTRUM,39610,30142
11022A31-,ACHTERBROEK - WUUSTWEZEL,35431,30549
11022A322,HEIKEN-NOORD,41286,35229
11022A382,DUFFELAAR,36097,28175
11022A39-,HANDELAAR,36618,29267
